year,month,year_month,chirps_raw_mm,gsmap_raw_mm,era5_t2m_c,era5_tdew_c,era5_rh_pct,era5_ws_ms,era5_sp_hpa,ndvi_mean
2011,10,2011_10,146.74,75.69,24.6,21.5,82.92,1.74,988.75,0.4287
2011,11,2011_11,542.52,351.28,24.67,22.71,88.89,1.1,987.43,0.5373
2011,12,2011_12,462.63,273.58,24.97,22.73,87.38,1.21,986.93,0.6299
2012,1,2012_01,455.78,385.13,24.63,22.47,87.76,1.42,986.29,0.7352
2012,2,2012_02,297.33,261.8,24.77,22.63,87.88,1.09,986.93,0.7477
2012,3,2012_03,343.47,272.06,24.8,22.41,86.57,1.36,986.92,0.6992
2012,4,2012_04,360.0,244.21,24.87,22.73,87.89,1.09,988.58,0.6822
2012,5,2012_05,245.87,172.18,24.57,22.24,86.86,1.5,988.23,0.75
2012,6,2012_06,59.7,23.42,24.21,21.57,85.2,1.71,989.18,0.7524
2012,7,2012_07,24.69,0.45,23.08,20.11,83.41,2.23,989.81,0.6093
2012,8,2012_08,59.09,0.01,23.02,19.33,79.7,2.26,990.9,0.5985
2012,9,2012_09,39.19,6.32,24.08,20.05,78.2,2.04,990.68,0.5332
2012,10,2012_10,215.15,97.45,24.88,21.77,82.89,1.64,989.28,0.4824
2012,11,2012_11,616.07,396.48,24.89,22.8,88.16,1.26,988.43,0.5875
2012,12,2012_12,528.05,430.25,24.75,22.84,89.17,1.11,987.12,0.6348
2013,1,2013_01,460.28,361.79,24.87,22.77,88.15,1.25,987.92,0.7014
2013,2,2013_02,395.4,314.29,25.16,23.01,87.92,1.14,986.83,0.7723
2013,3,2013_03,272.24,180.34,25.24,23.03,87.6,1.17,988.46,0.6998
2013,4,2013_04,304.09,218.19,25.41,23.17,87.43,1.01,987.68,0.679
2013,5,2013_05,534.81,251.72,25.3,23.16,87.97,1.08,987.87,0.6799
2013,6,2013_06,394.72,332.49,24.85,22.79,88.36,1.05,987.17,0.7748
2013,7,2013_07,350.28,271.74,23.72,21.58,87.78,1.64,988.89,0.6985
2013,8,2013_08,116.47,52.95,23.68,20.66,83.18,2.1,989.98,0.68
2013,9,2013_09,17.87,36.68,24.15,20.3,79.11,2.23,990.04,0.565
2013,10,2013_10,168.26,51.18,25.06,21.27,79.52,1.68,990.16,0.5738
2013,11,2013_11,324.54,213.43,24.8,22.26,85.83,1.23,987.64,0.6126
2013,12,2013_12,411.64,293.81,24.5,22.42,88.21,1.17,987.58,0.5224
