year,month,date,nm_kecamatan,mean_ndvi,median_ndvi,min_ndvi,max_ndvi,std_ndvi
2015,8,2015-08,Bonorowo,0.5957027777777778,0.60655,0.30970000000000003,0.8083,0.10123380669165787
2015,8,2015-08,Padureso,0.6445477064220184,0.667775,0.2034,0.84135,0.10685981903240611
2015,8,2015-08,Poncowarno,0.5430334065934066,0.53925,0.2849,0.91625,0.11776486194181753
2015,8,2015-08,Karangsambung,0.5770638815207781,0.5728500000000001,0.32585000000000003,0.89475,0.10935635199447068
2015,9,2015-09,Ayah,0.6935735741444867,0.7110500000000001,0.046,0.9253,0.1257405818777364
2015,9,2015-09,Buayan,0.6512590017825313,0.66935,0.3196,0.87465,0.10406318749279414
2015,9,2015-09,Puring,0.5550918879056047,0.5594,0.30525,0.78985,0.10016675688290874
2015,9,2015-09,Petanahan,0.6126541049798115,0.6196,0.1769,0.8184,0.07744174183326023
2015,9,2015-09,Klirong,0.6396321856287426,0.65115,0.36955000000000005,0.81005,0.06607184930794302
2015,9,2015-09,Buluspesantren,0.6237927527405602,0.6532,0.1738,0.8046500000000001,0.1005371134190714
2015,9,2015-09,Ambal,0.5085779644268775,0.508325,0.0083,0.7534000000000001,0.1128888152926961
2015,9,2015-09,Mirit,0.5083979214780601,0.5014500000000001,-0.0322,0.7915500000000001,0.10298423474192309
2015,9,2015-09,Prembun,0.5381689873417722,0.54855,0.25115,0.77215,0.08740102145211609
2015,9,2015-09,Kutowinangun,0.5127154867256638,0.51685,0.17705,0.73,0.0953699163341211
2015,9,2015-09,Alian,0.5505393276414088,0.5507500000000001,0.2874,0.7753,0.08279803708300539
2015,9,2015-09,Kebumen,0.5081201443569554,0.50015,0.25785,0.732,0.09890824191780229
2015,9,2015-09,Pejagoan,0.5729473367697595,0.581075,0.2848,0.7373000000000001,0.07624664601233666
2015,9,2015-09,Sruweng,0.6138989892183289,0.6243000000000001,0.41105,0.7681,0.06325821944336907
2015,9,2015-09,Adimulyo,0.6188274373259054,0.627175,0.3438,0.7725000000000001,0.06362445838991808
2015,9,2015-09,Kuwarasan,0.6610883105802048,0.671475,0.3632,0.80225,0.062018353999532996
2015,9,2015-09,Rowokele,0.6264471760797343,0.6299,0.23565,0.8799,0.11539119992557785
2015,9,2015-09,Sempor,0.6230338699690403,0.6276,0.15895,0.8588,0.08358857194955023
2015,9,2015-09,Gombong,0.5766203927492448,0.5815,0.35960000000000003,0.80345,0.07751180905739641
2015,9,2015-09,Karanganyar,0.5981037864077671,0.60405,0.3788,0.7684500000000001,0.055030980773437224
2015,9,2015-09,Karanggayam,0.5498831604803494,0.5554,0.3153,0.8068500000000001,0.09042754428729192
2015,9,2015-09,Sadang,0.6576557275541798,0.6947,0.38280000000000003,0.8500500000000001,0.11540999826441929
2015,9,2015-09,Bonorowo,0.5267366666666666,0.5297750000000001,0.33595,0.67325,0.07184862203890127
2015,9,2015-09,Padureso,0.6324731651376148,0.6410750000000001,0.39830000000000004,0.7736000000000001,0.0671848798150426
2015,9,2015-09,Poncowarno,0.5478008791208792,0.5398000000000001,0.29945,0.78725,0.09058908322324025
2015,9,2015-09,Karangsambung,0.5858143236074271,0.5719000000000001,0.33265,0.8155,0.09700222231658828
2015,10,2015-10,Ayah,0.6406972157772622,0.6486000000000001,0.056,0.8911,0.12926236020152934
2015,10,2015-10,Buayan,0.6066823056300269,0.6214000000000001,0.24730000000000002,0.8297,0.10547996438278859
2015,10,2015-10,Puring,0.44721821862348177,0.4612,0.2308,0.747,0.12054106147736486
2015,10,2015-10,Petanahan,0.4665517531556802,0.4646,0.2089,0.8059000000000001,0.11698330529234845
2015,10,2015-10,Klirong,0.5208646084337349,0.5276000000000001,0.2818,0.7107,0.07938906196755093
2015,10,2015-10,Buluspesantren,0.4871242462311558,0.4907,0.25,0.7182000000000001,0.09777273991718881
2015,10,2015-10,Ambal,0.44547671092951996,0.45840000000000003,0.051000000000000004,0.6954,0.11633357908658261
2015,10,2015-10,Mirit,0.5100582949308755,0.5162500000000001,0.1005,0.8161,0.11153390998416317
2015,10,2015-10,Prembun,0.5492607594936709,0.556,0.3519,0.6950000000000001,0.06795387381534461
2015,10,2015-10,Kutowinangun,0.5429746902654867,0.5423,0.3017,0.7297,0.07151847422783512
2015,10,2015-10,Alian,0.5317068303094984,0.5291,0.3497,0.7618,0.07073112825369447
2015,10,2015-10,Kebumen,0.46966391076115493,0.46695000000000003,0.23070000000000002,0.7068,0.08390477430775369
2015,10,2015-10,Pejagoan,0.5382676975945017,0.5452,0.2936,0.6981,0.08029758711240022
2015,10,2015-10,Sruweng,0.5458501347708895,0.5703,0.3513,0.7116,0.07845968005836211
2015,10,2015-10,Adimulyo,0.49946894150417837,0.5044,0.2316,0.6637000000000001,0.07502204761724783
2015,10,2015-10,Kuwarasan,0.5204186006825939,0.5335,0.2994,0.6782,0.0869721842400719
2015,10,2015-10,Rowokele,0.6560924695459579,0.6687000000000001,0.4088,0.8638,0.11423095181708659
2015,10,2015-10,Sempor,0.5887016099071208,0.5974,0.2877,0.8149000000000001,0.08254401875038511
2015,10,2015-10,Gombong,0.4341743202416919,0.4202,0.33230000000000004,0.6335000000000001,0.05910471100689541
2015,10,2015-10,Karanganyar,0.5357104854368931,0.5431,0.2641,0.7777000000000001,0.07975599175079388
2015,10,2015-10,Karanggayam,0.5355273471615721,0.542,0.19390000000000002,0.7554000000000001,0.08850740032682637
2015,10,2015-10,Sadang,0.6486134158926729,0.6911,0.3476,0.8410000000000001,0.11745589667254291
2015,10,2015-10,Bonorowo,0.5423525,0.5398000000000001,0.332,0.7035,0.07928910282682819
2015,10,2015-10,Padureso,0.6207,0.6152500000000001,0.3007,0.7644000000000001,0.06669674558447086
2015,10,2015-10,Poncowarno,0.5664156043956045,0.5687,0.3844,0.7628,0.08531293705546839
2015,10,2015-10,Karangsambung,0.5624290893015031,0.5517000000000001,0.302,0.786,0.09903376391510044
2015,11,2015-11,Ayah,0.6113727760736196,0.6277,0.133,0.97265,0.14964142521884288
2015,11,2015-11,Buayan,0.5484542448614835,0.5547000000000001,0.1278,0.90515,0.14254770993909432
2015,11,2015-11,Puring,0.4788675583657587,0.4779,0.22710000000000002,0.7954,0.12789329548392603
2015,11,2015-11,Petanahan,0.4884333776595745,0.4832,-0.0536,0.75455,0.13647880053317582
2015,11,2015-11,Klirong,0.5069193921852387,0.50295,0.1922,0.7672,0.10933207650297584
