nm_kecamatan,month,mean_ndvi
Kebumen,6,0.67844843832021
Kebumen,7,0.6224308687664042
Kebumen,8,0.5084122047244094
Kebumen,9,0.46539812335958003
Kebumen,10,0.4257539107611549
Kebumen,11,0.42427606824146985
Kebumen,12,0.47876882677165356
Klirong,1,0.6989352884368865
Klirong,2,0.7059599469539717
Klirong,3,0.6462659605832859
Klirong,4,0.6171011060942924
Klirong,5,0.6836949862252866
Klirong,6,0.7313730749728415
Klirong,7,0.65486341202786
Klirong,8,0.5952200304060152
Klirong,9,0.582597177364252
Klirong,10,0.5180413796242748
Klirong,11,0.5191988598609276
Klirong,12,0.5683495397507248
Kutowinangun,1,0.7317222831858408
Kutowinangun,2,0.7327115575221239
Kutowinangun,3,0.6733172672566371
Kutowinangun,4,0.6335661557522124
Kutowinangun,5,0.6672871115044248
Kutowinangun,6,0.7315849097345134
Kutowinangun,7,0.6784477946902655
Kutowinangun,8,0.5787335433628319
Kutowinangun,9,0.505233553982301
Kutowinangun,10,0.47946385251112034
Kutowinangun,11,0.49669488849557525
Kutowinangun,12,0.5664093238938053
Kuwarasan,1,0.6948987167235495
Kuwarasan,2,0.7188988430034131
Kuwarasan,3,0.5830919010238909
Kuwarasan,4,0.5692738156996587
Kuwarasan,5,0.724764156996587
Kuwarasan,6,0.6992827337883959
Kuwarasan,7,0.5847995255972696
Kuwarasan,8,0.5885375119453925
Kuwarasan,9,0.5282682730375426
Kuwarasan,10,0.450578082286164
Kuwarasan,11,0.41237076073289025
Kuwarasan,12,0.5029040819112628
Mirit,1,0.6395169341580158
Mirit,2,0.6780907292717822
Mirit,3,0.6272510151655755
Mirit,4,0.5926511678624908
Mirit,5,0.5952538537981031
Mirit,6,0.6489943063973896
Mirit,7,0.6389974139637138
Mirit,8,0.5707173983218504
Mirit,9,0.5162250519902025
Mirit,10,0.48560722695445074
Mirit,11,0.47014866500953806
Mirit,12,0.5153783091384576
Padureso,1,0.7421761146788991
Padureso,2,0.7644461513761468
Padureso,3,0.7732579036697248
Padureso,4,0.7843929036697248
Padureso,5,0.7886406192660551
Padureso,6,0.7770346559633028
Padureso,7,0.7391091467889909
Padureso,8,0.6676435917431194
Padureso,9,0.5954595321100917
Padureso,10,0.5674044174311927
Padureso,11,0.6073873899082569
Padureso,12,0.663510490825688
Pejagoan,1,0.691359233676976
Pejagoan,2,0.7335706701030928
Pejagoan,3,0.721517295532646
Pejagoan,4,0.7065826323024055
Pejagoan,5,0.7327466082474227
Pejagoan,6,0.7379252542955327
Pejagoan,7,0.6916441958762887
Pejagoan,8,0.596105529209622
Pejagoan,9,0.533044323024055
Pejagoan,10,0.5035208659793815
Pejagoan,11,0.547797206185567
Pejagoan,12,0.5952130240549828
Petanahan,1,0.7162119544011116
Petanahan,2,0.7021247467697901
Petanahan,3,0.6011865337978066
Petanahan,4,0.5750685242194354
Petanahan,5,0.7074181026883276
Petanahan,6,0.743392419122552
Petanahan,7,0.6232879837001287
Petanahan,8,0.5837671878520585
Petanahan,9,0.5450464648111635
Petanahan,10,0.4753964130466327
Petanahan,11,0.4690748762283403
Petanahan,12,0.5587217429814251
Poncowarno,1,0.7325923956043957
Poncowarno,2,0.7563504351648352
Poncowarno,3,0.7419102329670331
Poncowarno,4,0.732264030769231
Poncowarno,5,0.7541977406593406
Poncowarno,6,0.7547401098901099
Poncowarno,7,0.7019648263736263
Poncowarno,8,0.6239891252747253
Poncowarno,9,0.5367694901098902
Poncowarno,10,0.5085862373626374
Poncowarno,11,0.5526212395604396
Poncowarno,12,0.6240071340659341
Prembun,1,0.6955749620253165
Prembun,2,0.732719346835443
Prembun,3,0.6638649367088608
Prembun,4,0.6109692759493671
Prembun,5,0.6471166379746837
Prembun,6,0.7130408506329114
Prembun,7,0.6664702278481013
Prembun,8,0.5818107240506329
Prembun,9,0.5358444607594938
Prembun,10,0.4840056197144748
Prembun,11,0.478368
Prembun,12,0.5450550075949367
Puring,1,0.6731965347487027
Puring,2,0.7012417533005066
Puring,3,0.6373398733992498
Puring,4,0.6069806530045222
Puring,5,0.6936500994482229
Puring,6,0.7097097074470554
Puring,7,0.6212418313405458
Puring,8,0.5805014094632812
Puring,9,0.5332179832048974
Puring,10,0.4883935698252636
Puring,11,0.4917180358274056
Puring,12,0.5348085631893308
Rowokele,1,0.6993881993355483
Rowokele,2,0.7235398361018827
Rowokele,3,0.7178144186046512
Rowokele,4,0.7390565094130676
Rowokele,5,0.7850796035437432
Rowokele,6,0.7600266245847176
Rowokele,7,0.7097826312292359
Rowokele,8,0.631278950166113
Rowokele,9,0.5594404739756368
Rowokele,10,0.526978657807309
Rowokele,11,0.5423418951806371
Rowokele,12,0.6100579224806202
Sadang,1,0.7190633746130031
Sadang,2,0.7540396243550052
Sadang,3,0.7762670959752321
Sadang,4,0.7824495541795666
Sadang,5,0.7806812961816305
Sadang,6,0.7763304726522188
Sadang,7,0.7573370753353973
Sadang,8,0.6779307636738906
Sadang,9,0.6041458761609908
Sadang,10,0.5880366542827657
Sadang,11,0.6184887368421053
Sadang,12,0.6644064499484004
Sempor,1,0.6803743801857586
Sempor,2,0.725685146749226
Sempor,3,0.7196935356037153
Sempor,4,0.7392048767801858
Sempor,5,0.7666737845201239
Sempor,6,0.7418742778543779
Sempor,7,0.6942994972136224
Sempor,8,0.6092206613003096
Sempor,9,0.5239333795665635
Sempor,10,0.48408128159870484
Sempor,11,0.5264077931888544
Sempor,12,0.5885375269349846
Sruweng,1,0.7239223773584906
Sruweng,2,0.7482158059299192
Sruweng,3,0.6862369919137467
Sruweng,4,0.666132590296496
Sruweng,5,0.7370695121293801
Sruweng,6,0.7545961266846362
Sruweng,7,0.674943795148248
Sruweng,8,0.5988932264150943
Sruweng,9,0.5226321185983828
Sruweng,10,0.4695369757412399
Sruweng,11,0.5194489811793636
Sruweng,12,0.6027661320754717
