latitude,longitude,elevation_m,gsmap_mm,chirps_mm,fused_mm,diff_mm
-7.600343925923213,109.63376747237643,228.0,2613.70849609375,3377.990234375,3033.681884765625,-764.28173828125
-7.602591656436829,109.63376747237643,211.0,2586.4833984375,3328.686767578125,2998.2294921875,-742.203369140625
-7.604839386950444,109.63376747237643,213.0,2586.6162109375,3331.543701171875,2999.8515625,-744.927490234375
-7.607087117464061,109.63376747237643,192.0,2585.77099609375,3330.0263671875,2996.00634765625,-744.25537109375
-7.609334847977676,109.63376747237643,177.0,2562.4755859375,3291.748779296875,2956.023681640625,-729.273193359375
-7.6115825784912925,109.63376747237643,175.0,2562.4755859375,3291.748779296875,2956.222900390625,-729.273193359375
-7.613830309004908,109.63376747237643,183.0,2568.390380859375,3305.523193359375,2970.5595703125,-737.1328125
-7.6160780395185235,109.63376747237643,185.0,2586.52099609375,3331.016845703125,2996.323974609375,-744.495849609375
-7.61832577003214,109.63376747237643,176.0,2585.869873046875,3330.525634765625,2995.12255859375,-744.65576171875
-7.620573500545755,109.63376747237643,201.0,2585.4052734375,3329.060546875,3001.875732421875,-743.6552734375
-7.622821231059371,109.63376747237643,200.0,2585.013427734375,3328.32470703125,2997.053955078125,-743.311279296875
-7.625068961572987,109.63376747237643,146.0,2577.05517578125,3321.000244140625,2980.914306640625,-743.945068359375
-7.627316692086603,109.63376747237643,96.0,2550.373291015625,3281.57568359375,2962.931640625,-731.202392578125
-7.629564422600218,109.63376747237643,128.0,2558.75390625,3297.944091796875,2965.9169921875,-739.190185546875
-7.6318121531138345,109.63376747237643,130.0,2558.289306640625,3297.25439453125,2966.26416015625,-738.965087890625
-7.63405988362745,109.63376747237643,120.0,2558.289306640625,3297.25439453125,2966.77880859375,-738.965087890625
-7.636307614141066,109.63376747237643,138.0,2579.22900390625,3324.547119140625,2982.7236328125,-745.318115234375
-7.638555344654682,109.63376747237643,142.0,2580.72216796875,3327.713134765625,2991.668701171875,-746.990966796875
-7.640803075168297,109.63376747237643,136.0,2557.29443359375,3297.6376953125,2975.337890625,-740.34326171875
-7.643050805681914,109.63376747237643,118.0,2559.805419921875,3301.117431640625,2985.38427734375,-741.31201171875
-7.645298536195529,109.63376747237643,104.0,2556.626953125,3290.981201171875,2975.890380859375,-734.354248046875
-7.647546266709146,109.63376747237643,93.0,2556.626953125,3290.981201171875,2976.9609375,-734.354248046875
-7.649793997222761,109.63376747237643,80.0,2552.3134765625,3284.406982421875,2969.08447265625,-732.093505859375
-7.652041727736377,109.63376747237643,60.0,2545.914794921875,3274.247802734375,2962.398681640625,-728.3330078125
-7.654289458249993,109.63376747237643,54.0,2550.84033203125,3279.7197265625,2959.441650390625,-728.87939453125
-7.6565371887636084,109.63376747237643,57.0,2551.43310546875,3280.377197265625,2960.688232421875,-728.944091796875
-7.658784919277224,109.63376747237643,42.0,2533.5302734375,3252.8984375,2919.439697265625,-719.3681640625
-7.66103264979084,109.63376747237643,36.0,2517.034912109375,3233.233642578125,2901.739013671875,-716.19873046875
-7.663280380304456,109.63376747237643,37.0,2517.034912109375,3233.233642578125,2901.564697265625,-716.19873046875
-7.665528110818071,109.63376747237643,36.0,2523.8115234375,3234.579345703125,2907.72119140625,-710.767822265625
-7.667775841331688,109.63376747237643,32.0,2516.743896484375,3228.722412109375,2901.37939453125,-711.978515625
-7.670023571845303,109.63376747237643,26.0,2516.26025390625,3227.43505859375,2901.7080078125,-711.1748046875
-7.6722713023589195,109.63376747237643,33.0,2523.355224609375,3237.547607421875,2905.7255859375,-714.1923828125
-7.674519032872535,109.63376747237643,26.0,2517.087890625,3230.43505859375,2904.134765625,-713.34716796875
-7.6767667633861505,109.63376747237643,22.0,2521.8369140625,3236.38525390625,2909.837890625,-714.54833984375
-7.679014493899767,109.63376747237643,22.0,2522.43603515625,3235.372802734375,2911.97314453125,-712.936767578125
-7.681262224413382,109.63376747237643,25.0,2522.3193359375,3237.918701171875,2912.3798828125,-715.599365234375
-7.683509954926998,109.63376747237643,25.0,2522.61572265625,3236.866943359375,2913.141845703125,-714.251220703125
-7.685757685440614,109.63376747237643,21.0,2523.0517578125,3237.797607421875,2912.6494140625,-714.745849609375
-7.68800541595423,109.63376747237643,21.0,2523.3974609375,3237.991943359375,2913.1748046875,-714.594482421875
-7.690253146467846,109.63376747237643,21.0,2523.3974609375,3237.991943359375,2912.2490234375,-714.594482421875
-7.692500876981462,109.63376747237643,18.0,2522.66796875,3237.024169921875,2912.312744140625,-714.356201171875
-7.694748607495077,109.63376747237643,21.0,2522.33837890625,3237.00439453125,2911.99365234375,-714.666015625
-7.696996338008693,109.63376747237643,24.0,2522.3193359375,3237.918701171875,2909.78662109375,-715.599365234375
-7.699244068522309,109.63376747237643,23.0,2527.350830078125,3243.67626953125,2912.066162109375,-716.325439453125
-7.701491799035924,109.63376747237643,19.0,2526.75537109375,3244.6494140625,2913.94091796875,-717.89404296875
-7.703739529549541,109.63376747237643,21.0,2521.883544921875,3238.469970703125,2911.60400390625,-716.58642578125
-7.705987260063156,109.63376747237643,20.0,2528.1279296875,3248.298828125,2919.233642578125,-720.1708984375
-7.708234990576773,109.63376747237643,19.0,2527.617431640625,3247.375732421875,2919.144775390625,-719.75830078125
-7.710482721090388,109.63376747237643,19.0,2527.975830078125,3248.3759765625,2917.8935546875,-720.400146484375
-7.712730451604004,109.63376747237643,20.0,2527.622314453125,3247.320068359375,2918.151611328125,-719.69775390625
-7.71497818211762,109.63376747237643,17.0,2523.988037109375,3242.144775390625,2917.438232421875,-718.15673828125
-7.7172259126312355,109.63376747237643,15.0,2523.0078125,3241.693359375,2916.2880859375,-718.685546875
-7.719473643144851,109.63376747237643,16.0,2523.2783203125,3242.564697265625,2917.72802734375,-719.286376953125
-7.721721373658467,109.63376747237643,15.0,2524.06884765625,3243.9365234375,2916.738037109375,-719.86767578125
-7.723969104172083,109.63376747237643,13.0,2525.3388671875,3244.7587890625,2916.513427734375,-719.419921875
-7.726216834685699,109.63376747237643,13.0,2524.412109375,3240.878662109375,2911.972412109375,-716.466552734375
-7.728464565199315,109.63376747237643,16.0,2529.758544921875,3247.04345703125,2921.0048828125,-717.284912109375
-7.73071229571293,109.63376747237643,18.0,2535.330322265625,3254.226806640625,2925.977783203125,-718.896484375
-7.7329600262265465,109.63376747237643,16.0,2540.774658203125,3266.696044921875,2931.25634765625,-725.92138671875
-7.735207756740162,109.63376747237643,11.0,2536.197265625,3262.269775390625,2926.9599609375,-726.072509765625
-7.7374554872537775,109.63376747237643,13.0,2537.59228515625,3266.116943359375,2926.708740234375,-728.524658203125
-7.739703217767394,109.63376747237643,13.0,2536.9677734375,3265.781982421875,2926.635009765625,-728.814208984375
-7.741950948281009,109.63376747237643,17.0,2539.782470703125,3266.056640625,2928.34033203125,-726.274169921875
-7.744198678794626,109.63376747237643,17.0,2541.07958984375,3266.548828125,2930.871826171875,-725.46923828125
-7.746446409308241,109.63376747237643,15.0,2543.2275390625,3269.4296875,2934.71728515625,-726.2021484375
-7.748694139821857,109.63376747237643,16.0,2543.0478515625,3269.535888671875,2933.224609375,-726.488037109375
-7.750941870335473,109.63376747237643,16.0,2542.81884765625,3269.8046875,2932.44287109375,-726.98583984375
-7.753189600849089,109.63376747237643,15.0,2543.3994140625,3269.873779296875,2936.927490234375,-726.474365234375
-7.755437331362704,109.63376747237643,12.0,2542.813232421875,3271.29345703125,2936.0322265625,-728.480224609375
-7.7576850618763205,109.63376747237643,12.0,2542.152099609375,3270.7900390625,2931.589111328125,-728.637939453125
-7.759932792389936,109.63376747237643,12.0,2542.152099609375,3270.7900390625,2932.593017578125,-728.637939453125
-7.762180522903552,109.63376747237643,13.0,2542.337158203125,3270.9765625,2932.082763671875,-728.639404296875
-7.764428253417168,109.63376747237643,18.0,2550.338134765625,3278.781494140625,2937.524169921875,-728.443359375
-7.766675983930783,109.63376747237643,17.0,2545.597412109375,3272.0009765625,2935.13916015625,-726.403564453125
-7.7689237144444,109.63376747237643,16.0,2545.121337890625,3271.804931640625,2935.97314453125,-726.68359375
-7.771171444958015,109.63376747237643,17.0,2544.2392578125,3266.5380859375,2931.097412109375,-722.298828125
-7.773419175471631,109.63376747237643,15.0,2545.149169921875,3271.95068359375,2934.90087890625,-726.801513671875
-7.775666905985247,109.63376747237643,12.0,2542.152099609375,3270.84033203125,2933.937255859375,-728.688232421875
-7.7779146364988625,109.63376747237643,12.0,2542.813232421875,3271.29345703125,2937.912841796875,-728.480224609375
-7.780162367012478,109.63376747237643,10.0,2540.412109375,3267.582763671875,2940.209716796875,-727.170654296875
-7.782410097526094,109.63376747237643,4.0,2540.2353515625,3267.873779296875,2940.050048828125,-727.638427734375
-7.78465782803971,109.63376747237643,5.0,2540.313720703125,3267.77685546875,2939.74755859375,-727.463134765625
-7.786905558553326,109.63376747237643,3.0,2544.201416015625,3271.852783203125,2956.34716796875,-727.6513671875
